number,created_at,updated_at,url,html_url,state,fixed_at,dismissed_by,dismissed_at,dismissed_reason,dismissed_comment,rule.id,rule.severity,rule.description,rule.name,rule.tags,tool.name,tool.guid,tool.version,most_recent_instance.ref,most_recent_instance.analysis_key,most_recent_instance.environment,most_recent_instance.category,most_recent_instance.state,most_recent_instance.commit_sha,most_recent_instance.message.text,most_recent_instance.location.path,most_recent_instance.location.start_line,most_recent_instance.location.end_line,most_recent_instance.location.start_column,most_recent_instance.location.end_column,most_recent_instance.classifications,instances_url,rule.security_severity_level,dismissed_by.login,dismissed_by.id,dismissed_by.node_id,dismissed_by.avatar_url,dismissed_by.gravatar_id,dismissed_by.url,dismissed_by.html_url,dismissed_by.followers_url,dismissed_by.following_url,dismissed_by.gists_url,dismissed_by.starred_url,dismissed_by.subscriptions_url,dismissed_by.organizations_url,dismissed_by.repos_url,dismissed_by.events_url,dismissed_by.received_events_url,dismissed_by.type,dismissed_by.site_admin
187,2024-01-30T16:16:01Z,2024-01-30T16:16:03Z,https://api.github.com/repos/octodemo/vulnerable-node/code-scanning/alerts/187,https://github.com/octodemo/vulnerable-node/security/code-scanning/187,open,null,null,null,null,null,docker.io/my-organization/my-app:45265a6067c3586bc237bd99ee6c8614495d7c37 (ubuntu 16.04): linux-libc-dev-4.4.0-210.242 CVE-2022-0400,warning,CVE-2022-0400 Package: linux-libc-dev,OS Package Vulnerability (Ubuntu),"[""MEDIUM"",""linux-libc-dev"",""vulnerability""]",Trivy,null,0.15.0,refs/heads/main,.github/workflows/trivy-analysis.yml:run,{},.github/workflows/trivy-analysis.yml:run,open,45265a6067c3586bc237bd99ee6c8614495d7c37,"An out-of-bounds read vulnerability was discovered in linux kernel in the smc protocol stack, causing remote dos.",docker.io/my-organization/my-app:45265a6067c3586bc237bd99ee6c8614495d7c37,1,1,1,1,[],https://api.github.com/repos/octodemo/vulnerable-node/code-scanning/alerts/187/instances,undefined,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
186,2024-01-30T16:08:19Z,2024-01-30T16:16:03Z,https://api.github.com/repos/octodemo/vulnerable-node/code-scanning/alerts/186,https://github.com/octodemo/vulnerable-node/security/code-scanning/186,fixed,2024-01-30T16:16:01Z,null,null,null,null,docker.io/my-organization/my-app:322a4adc157b7fee925997774f4992a954dbdf60 (ubuntu 16.04): linux-libc-dev-4.4.0-210.242 CVE-2022-0400,warning,CVE-2022-0400 Package: linux-libc-dev,OS Package Vulnerability (Ubuntu),"[""MEDIUM"",""linux-libc-dev"",""vulnerability""]",Trivy,null,0.15.0,refs/heads/main,.github/workflows/trivy-analysis.yml:run,{},.github/workflows/trivy-analysis.yml:run,fixed,322a4adc157b7fee925997774f4992a954dbdf60,"An out-of-bounds read vulnerability was discovered in linux kernel in the smc protocol stack, causing remote dos.",docker.io/my-organization/my-app:322a4adc157b7fee925997774f4992a954dbdf60,1,1,1,1,[],https://api.github.com/repos/octodemo/vulnerable-node/code-scanning/alerts/186/instances,undefined,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
184,2023-07-06T20:15:02Z,2024-01-30T16:08:20Z,https://api.github.com/repos/octodemo/vulnerable-node/code-scanning/alerts/184,https://github.com/octodemo/vulnerable-node/security/code-scanning/184,fixed,2024-01-30T16:08:19Z,null,null,null,null,docker.io/my-organization/my-app:95d4f5e86384e7dff1a1be0f08e2931af5ea94c6 (ubuntu 16.04): linux-libc-dev-4.4.0-210.242 CVE-2022-0400,warning,CVE-2022-0400 Package: linux-libc-dev,OS Package Vulnerability (Ubuntu),"[""MEDIUM"",""linux-libc-dev"",""vulnerability""]",Trivy,null,0.15.0,refs/heads/main,.github/workflows/trivy-analysis.yml:run,{},.github/workflows/trivy-analysis.yml:run,fixed,95d4f5e86384e7dff1a1be0f08e2931af5ea94c6,"An out-of-bounds read vulnerability was discovered in linux kernel in the smc protocol stack, causing remote dos.",docker.io/my-organization/my-app:95d4f5e86384e7dff1a1be0f08e2931af5ea94c6,1,1,1,1,[],https://api.github.com/repos/octodemo/vulnerable-node/code-scanning/alerts/184/instances,undefined,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
182,2023-06-20T18:03:30Z,2023-06-30T05:34:53Z,https://api.github.com/repos/octodemo/vulnerable-node/code-scanning/alerts/182,https://github.com/octodemo/vulnerable-node/security/code-scanning/182,fixed,2023-07-06T20:15:02Z,null,null,null,null,docker.io/my-organization/my-app:20c8f724a8eaeff705d50e6be1edf0f60505e8d7 (ubuntu 16.04): linux-libc-dev-4.4.0-210.242 CVE-2022-0400,warning,CVE-2022-0400 Package: linux-libc-dev,OS Package Vulnerability (Ubuntu),"[""MEDIUM"",""linux-libc-dev"",""vulnerability""]",Trivy,null,0.15.0,refs/heads/main,.github/workflows/trivy-analysis.yml:run,{},.github/workflows/trivy-analysis.yml:run,fixed,20c8f724a8eaeff705d50e6be1edf0f60505e8d7,"An out-of-bounds read vulnerability was discovered in linux kernel in the smc protocol stack, causing remote dos.",docker.io/my-organization/my-app:20c8f724a8eaeff705d50e6be1edf0f60505e8d7,1,1,1,1,[],https://api.github.com/repos/octodemo/vulnerable-node/code-scanning/alerts/182/instances,undefined,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
180,2023-06-16T17:02:02Z,2023-06-16T17:02:02Z,https://api.github.com/repos/octodemo/vulnerable-node/code-scanning/alerts/180,https://github.com/octodemo/vulnerable-node/security/code-scanning/180,fixed,2023-06-20T18:03:30Z,null,null,null,null,docker.io/my-organization/my-app:5d9ad97411a3d0999cb7576f77fe382022779b95 (ubuntu 16.04): linux-libc-dev-4.4.0-210.242 CVE-2022-0400,warning,CVE-2022-0400 Package: linux-libc-dev,OS Package Vulnerability (Ubuntu),"[""MEDIUM"",""linux-libc-dev"",""vulnerability""]",Trivy,null,0.15.0,refs/heads/main,.github/workflows/trivy-analysis.yml:run,{},.github/workflows/trivy-analysis.yml:run,fixed,5d9ad97411a3d0999cb7576f77fe382022779b95,"An out-of-bounds read vulnerability was discovered in linux kernel in the smc protocol stack, causing remote dos.",docker.io/my-organization/my-app:5d9ad97411a3d0999cb7576f77fe382022779b95,1,1,1,1,[],https://api.github.com/repos/octodemo/vulnerable-node/code-scanning/alerts/180/instances,undefined,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
178,2023-04-19T17:50:24Z,2023-06-16T05:34:26Z,https://api.github.com/repos/octodemo/vulnerable-node/code-scanning/alerts/178,https://github.com/octodemo/vulnerable-node/security/code-scanning/178,fixed,2023-06-16T17:02:02Z,null,null,null,null,docker.io/my-organization/my-app:156d3b0d7fa0f7fd27ec590561e8ae40d69f7e0e (ubuntu 16.04): linux-libc-dev-4.4.0-210.242 CVE-2022-0400,warning,CVE-2022-0400 Package: linux-libc-dev,OS Package Vulnerability (Ubuntu),"[""MEDIUM"",""linux-libc-dev"",""vulnerability""]",Trivy,null,0.15.0,refs/heads/main,.github/workflows/trivy-analysis.yml:run,{},.github/workflows/trivy-analysis.yml:run,fixed,156d3b0d7fa0f7fd27ec590561e8ae40d69f7e0e,"An out-of-bounds read vulnerability was discovered in linux kernel in the smc protocol stack, causing remote dos.",docker.io/my-organization/my-app:156d3b0d7fa0f7fd27ec590561e8ae40d69f7e0e,1,1,1,1,[],https://api.github.com/repos/octodemo/vulnerable-node/code-scanning/alerts/178/instances,undefined,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
176,2023-04-19T17:48:31Z,2023-04-19T17:48:31Z,https://api.github.com/repos/octodemo/vulnerable-node/code-scanning/alerts/176,https://github.com/octodemo/vulnerable-node/security/code-scanning/176,fixed,2023-04-19T17:50:24Z,null,null,null,null,docker.io/my-organization/my-app:3e72986e5e237661a4be5c825f02b4100c50ef44 (ubuntu 16.04): linux-libc-dev-4.4.0-210.242 CVE-2022-0400,warning,CVE-2022-0400 Package: linux-libc-dev,OS Package Vulnerability (Ubuntu),"[""MEDIUM"",""linux-libc-dev"",""vulnerability""]",Trivy,null,0.15.0,refs/heads/main,.github/workflows/trivy-analysis.yml:run,{},.github/workflows/trivy-analysis.yml:run,fixed,3e72986e5e237661a4be5c825f02b4100c50ef44,"An out-of-bounds read vulnerability was discovered in linux kernel in the smc protocol stack, causing remote dos.",docker.io/my-organization/my-app:3e72986e5e237661a4be5c825f02b4100c50ef44,1,1,1,1,[],https://api.github.com/repos/octodemo/vulnerable-node/code-scanning/alerts/176/instances,undefined,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
175,2023-03-27T17:28:51Z,2023-04-14T05:34:41Z,https://api.github.com/repos/octodemo/vulnerable-node/code-scanning/alerts/175,https://github.com/octodemo/vulnerable-node/security/code-scanning/175,fixed,2023-04-19T17:48:31Z,null,null,null,null,docker.io/my-organization/my-app:a3c757a67c44222173b135e683578eb4e3f6f908 (ubuntu 16.04): linux-libc-dev-4.4.0-210.242 CVE-2022-0400,warning,CVE-2022-0400 Package: linux-libc-dev,OS Package Vulnerability (Ubuntu),"[""MEDIUM"",""linux-libc-dev"",""vulnerability""]",Trivy,null,0.15.0,refs/heads/main,.github/workflows/trivy-analysis.yml:run,{},.github/workflows/trivy-analysis.yml:run,fixed,a3c757a67c44222173b135e683578eb4e3f6f908,"An out-of-bounds read vulnerability was discovered in linux kernel in the smc protocol stack, causing remote dos.",docker.io/my-organization/my-app:a3c757a67c44222173b135e683578eb4e3f6f908,1,1,1,1,[],https://api.github.com/repos/octodemo/vulnerable-node/code-scanning/alerts/175/instances,undefined,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
174,2023-03-27T17:28:15Z,2023-03-27T17:28:15Z,https://api.github.com/repos/octodemo/vulnerable-node/code-scanning/alerts/174,https://github.com/octodemo/vulnerable-node/security/code-scanning/174,fixed,2023-03-27T17:28:51Z,null,null,null,null,docker.io/my-organization/my-app:cf9cf03be7ddc8953081cdf9f088341fd03cb515 (ubuntu 16.04): linux-libc-dev-4.4.0-210.242 CVE-2022-0400,warning,CVE-2022-0400 Package: linux-libc-dev,OS Package Vulnerability (Ubuntu),"[""MEDIUM"",""linux-libc-dev"",""vulnerability""]",Trivy,null,0.15.0,refs/heads/main,.github/workflows/trivy-analysis.yml:run,{},.github/workflows/trivy-analysis.yml:run,fixed,cf9cf03be7ddc8953081cdf9f088341fd03cb515,"An out-of-bounds read vulnerability was discovered in linux kernel in the smc protocol stack, causing remote dos.",docker.io/my-organization/my-app:cf9cf03be7ddc8953081cdf9f088341fd03cb515,1,1,1,1,[],https://api.github.com/repos/octodemo/vulnerable-node/code-scanning/alerts/174/instances,undefined,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
173,2023-03-22T20:24:20Z,2023-03-24T05:34:58Z,https://api.github.com/repos/octodemo/vulnerable-node/code-scanning/alerts/173,https://github.com/octodemo/vulnerable-node/security/code-scanning/173,fixed,2023-03-27T17:28:15Z,null,null,null,null,docker.io/my-organization/my-app:04440a0e8f05df389da4e4467ce73d07fb3fd151 (ubuntu 16.04): linux-libc-dev-4.4.0-210.242 CVE-2022-0400,warning,CVE-2022-0400 Package: linux-libc-dev,OS Package Vulnerability (Ubuntu),"[""MEDIUM"",""linux-libc-dev"",""vulnerability""]",Trivy,null,0.15.0,refs/heads/main,.github/workflows/trivy-analysis.yml:run,{},.github/workflows/trivy-analysis.yml:run,fixed,04440a0e8f05df389da4e4467ce73d07fb3fd151,"An out-of-bounds read vulnerability was discovered in linux kernel in the smc protocol stack, causing remote dos.",docker.io/my-organization/my-app:04440a0e8f05df389da4e4467ce73d07fb3fd151,1,1,1,1,[],https://api.github.com/repos/octodemo/vulnerable-node/code-scanning/alerts/173/instances,undefined,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
